Location,Latitude,Longitude,Year of arrival,Quote from text,Source
"Las Vegas site (OGSE-80), Ecuador",-2.21,-80.9,-5170,an age of  $7170 \pm 60$  BP was obtained on the earliest maize-bearing assemblage,1
"Lake La Yeguada, Panama",8.47,-80.82,-5000,"In Lake La Yeguada, maize pollen and phytoliths were extracted from a core sediment sample that has a date slightly less than 7000 BP",1
"Cueva de los Ladrones, Panama",8.33,-80.25,-5000,"However, it was later pointed out that the pollen associated with carbon was dated to 7000 BP (Piperno, 1995: 139).",1
"Tiliviche, Chile",-19.6,-69.95,-5900,The early evidence is associated with the stratum dated to 5900 years BC.,1
"San Andrés, Tabasco, Mexico",18.3,-92.5,-4800,"The biggest grains probably are domestic maize, and they appear 100 years later, that is, in 4800 BC.",1
"Hacienda El Dorado, Calima, Colombia",3.88,-76.5,-4680,Maize pollen was identified with an age of 6680 years BP,1
"Guilá Naquitz, Oaxaca, Mexico",16.92,-96.38,-4250,"the dates obtained are 5410 and 5420 BP (i.e., c. 6250 calendar years), and so they are about 700 years older than those from Tehuacán",1
"Cerro El Calvario, Casma Valley, Peru",-9.47,-78.38,-4070,"A radiocarbon date of  $6070 \pm 70$  (Gif-6773) years BP was obtained for this level, and it is clearly stated that it was “. . . in association with preceramic maize”",1
"Rosamachay (Ac 117), Ayacucho, Peru",-13.15,-74.22,-3520,This sample was dated at  $3520 \pm 110$  B.C. radiocarbon years (I 5685) $5470 \pm 110$  BP,1
"Lake Yojoa, Honduras",14.87,-87.98,-2770,"Maize pollen has been found in a sediment-sample core from Lake Yojoa, which has been ascribed to 4770 years BP",1
"Arenal-Tilarán subarea, Costa Rica",10.46,-84.82,-2450,This is a charred kernel dated to 4450 BP.,1
"Cueva de La Perra, Tamaulipas, Mexico",23.75,-99.16,-2445,The most ancient remains were dated to 4445 radiocarbon years,1
"Laguna Verde, El Salvador",13.88,-89.78,-2440,"discovery of Zea pollen in the sediments of Laguna Verde (in the Sierra de Apaneca, Llamatepec) that would be the earliest evidence, with c. 4440 years BP (calibrated)",1
"McEuen Cave, Arizona, United States",33.15,-110.15,-2300,"More recently there are dates of 2017 BC (c. 4000 BP) (Smith, 1997a: 379; Wills, 1995) and 4300 BP for McEuen Cave",1
"Los Ajos, Uruguay",-33.82,-54.12,-2190,"Phytoliths from maize cobs were, however, found 15 cm on top of the oldest context in the Preceramic Mound Component, dated to “. . . about 4,190 14C yr BP. . . .”",1
"Bat Cave, New Mexico, United States",33.59,-108.15,-1600,"Simmons (1986: 73) concurs and points out that the date of 3600 BC is unacceptable and that the correct date must be 1600 BC, but even this date has also been questioned.",1
"Lake Shelby, Alabama, United States",30.2527,-87.6978,-1500,"But in the zone of Alabama, a pollen grain from the sediments of Lake Shelby, on the coastal area, was dated to 3500 BP. This would be the earliest date available for maize in the United States",1
"Middle Woodland Holding site, Mississippi Valley, United States",38.7,-90.1,-100,"Maize has in fact been dated at 100 BC for the Middle Woodland Holding site, in the mid-Mississippi Valley (Fritz, 1993).",1
"Tennessee and Ohio areas, United States",37.5,-85.0,150,"The earliest date available for the eastern United States, in the Tennessee and Ohio areas, is 1800 BP",1
"Central plains, United States",39.0,-98.0,325,"Maize appeared in the central plains of the United States in AD 250–400 (Adair, 1994: 332)",1
"Grand Banks site, Ontario, Canada",42.9238,-79.9142,500,"The earliest evidence available for Canada is the Princess Point culture, on the Grand Banks site at Ontario, which has an antiquity that ranges between AD 400 and 600 (Crawford et al., 2006: 549).",1
"New York zone, United States",43.0,-75.0,1000,"For the New York zone, the date is c. AD 1000.",1
